rank,title,price_cny,was_price_cny,seller,seller_positive_pct,seller_feedback,star_rating,reviews_count,shipping_cny,best_offer,ships_from,sponsored,watchers
1,Cleer ARC 3 True Wireless Open Ear Headphones - Dolby Audio Snapdragon Sound,809.45,1484.05,cleer-audio,100.0,779,,,,1507.87,,,是,
2,Cleer ARC 5 Open-Ear Wireless Earbuds Dolby Atmos & THX Spatial Audio IPX7,1261.43,1484.05,cleer-audio,100.0,779,,,,1303.06,,,是,
3,Cleer ARC 4 Open-Ear Sport Headphones with Dolby Audio & THX Certified Sound,573.34,674.53,cleer-audio,100.0,779,,,,1303.06,,,是,126+
4,JBL Tune 310C USB-C In-Ear Wired Headphones,134.52,141.60,accessoryoutpost33,99.4,20000,5.0,13,151.11,是,,是,80
5,Apple AirPods Pro 3 Wireless Headphones with Charging Case White New & Sale,1274.99,,davidhe622020,100.0,102,,,,216.21,,,否,
6,Apple AirPods Pro 2nd Gen white Wireless active noise cancellation,670.11,,ad_vision2,0.0,0,4.5,13,76.10,是,澳大利亚,否,
7,Apple AirPods Pro 3 Wireless In Ear Earbuds White Plz View My Other Sales,1012.30,,3dshopeu,0.0,0,,,,163.45,,荷兰,否,10
8,Apple AirPods (3rd Gen) White MagSafe Wireless Charging Case active Warranty,837.49,,northsideluxurious1,0.0,0,,,,28.51,是,澳大利亚,否,
9,Apple AirPods 4th Generation - Active Noise Cancellation ANC,508.13,,pudshii,100.0,1,,,,169.33,是,加拿大,否,
